головной арт;Код;номенклатура;фасовка;единица изм.;цена розница;бренд;картинка;цвет
;00000019;Клей ЮНИС 2000 плиточный 25к;25;кг;244;Unis;http://tk-karavanrf.alloy.ru/media/images/2012/07/21/big/6d8dc4933cd6f54e059bb23d0c7b9eef.jpeg;
;00000020;Клей ЮНИС 2000 плиточный 5к;5;кг;98;Unis;http://www.mosnab.ru/uploads/goods/42134.jpg;
;00000346;Клей ЮНИС армирование ТЕПЛОКЛЕЙ 25кг;25;кг;436;Unis;http://magazin-stroy.ru/photos/p7211.jpg;
;00000023;Клей ЮНИС ГРАНИТ плиточный 25кг;25;кг;517;Unis;http://www.mosnab.ru/uploads/goods/42133.jpg;
;00000022;Клей ЮНИС ПЛЮС плиточный 25кг;25;кг;340;Unis;http://darus.ru/wa-data/public/shop/products/29/00/29/images/31/31.400.jpg;
;00000021;Клей ЮНИС ПЛЮС плиточный 5кг;5;кг;118;Unis;http://www.filtrakt.ru/photo/foto_79345558.jpg;
;00000196;"Пол ВОЛМА наливной быстротв. ""Нивелир Экспресс"" 20 кг ";20;кг;268;Волма;http://buildbazar.ru/products_pictures/large_f44e28ee280685176c6334daa13a851f.png;
;00000376;Пол ВОЛМА наливной Ровнитель грубый 25 кг ;25;кг;205;Волма;http://otvanta.ru/components/com_jshopping/files/img_products/full_9d7_2-2.jpg;
;00001307;Грубый ровнитель для пола Юнис 25кг ;25;кг;184;Unis;http://stroymatdostavka.ru/image/cache/catalog/demo/product/UNIS/23-500x500.png;
;00000026;Пол ЮНИС наливн. ГОРИЗОНТ универс. 20кг ;20;кг;230;Unis;http://knaufdom.ru/image/cache/data/naliv_pol/unis_gorizont_universalniy-650x489.jpg;
;00000526;Алебастр белый Г-4 2кг;2;кг;25;;http://akson.ru/upload/resize_cache/ctpi/ea/eac5eeae0ef12e6b4c377e1082efeb78/1000x1000.jpg;
;00001005;Гипс Волма Алебастр 5кг;5;кг;60;Волма;http://arshin48.ru/upload/iblock/4b5/gips_ctroitelnyy_volma_gips_5_kg_.jpg;
;00000034;Мел ЮНИС 5кг;5;кг;80;Unis;http://hsi.ru/components/com_jshopping/files/img_products/bd6682271b025e413ab0783f25493c44.jpg;
;00001216;Смесь М150 цем\пес 2кг;3;кг;30;;;
;00000210;Смесь сухая СМ999 кладочная М-150 25кг;25;кг;102;;http://titanst.ru/upload/iblock/31e/31e0c6642647874bd79f5513265f27ae.jpeg;
;00000567;Смесь сухая СМ999 кладочная М-150 40кг;40;кг;141;;http://formmat.ru/upload/shop_3/1/8/9/item_189/shop_items_catalog_image189.png;
;00000209;Смесь сухая СМ999 М-300 25кг;25;кг;113;;http://keramix-oskol.ru/upload/iblock/ed4/ed4b3caa7870d22f3ceb9b4cffd167ed.jpeg;
