Головной арт;Код;Номенклатура, Упаковка;Фасовка;Единица измерения;Цена розница, руб;Бренд;Картинка ;Цвет
w105-012;105-009;;9;л;4 250,40;;;
;w105-017;Maison еn Bois / Мэзон ан буа база C - краска-лазурь водно-дисперсионная для защиты, декор. отделки дер. изд-й;;;;VINCENT;http://vd68.ru/wp-content/uploads/2015/01/Maison_en_Bois.jpg;
w105-017;105-017;;0,9;л;460,00;;;
w105-017;105-040;;2;л;1 040,06;;;
w105-017;105-016;;2,7;л;1 360,22;;;
w105-017;105-014;;9;л;3 790,40;;;
;w105-035;Protection Terrase / Протексьон Террас - антибактериальное водоотталк. масло для полов, террас и термодерева;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/012/012772d291fda8c021bcf93a88437796.png;
w105-035;105-035;;0,9;л;500,02;;;
w105-035;105-036;;2,25;л;1 200,14;;;
;w105-003;Sous- Couche Bois / Су куш буа - грунтовка для защиты деревянных изделий ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/2ae/2ae0764f2b2144b341d4e2973b61d345.png;
w105-003;105-003;;0,9;л;400,20;;;
w105-003;105-002;;2,7;л;1 150,00;;;
w105-003;105-001;;9;л;3 200,22;;;
;w105-034;Top Lasure Color / Топ лазурь колор- краска алкидная для защиты и декор. отделки деревянных изделий ;;;;VINCENT;http://titanst.ru/upload/iblock/ed9/ed967c00bed959ca89777d67de01fb36.jpeg;
w105-034;105-034;;0,9;л;480,24;;;
w105-034;105-032;;2,7;л;1 320,20;;;
w105-034;105-030;;9;л;4 000,16;;;
;090-006;Matiere Crepi S-1 / Матиар крепи структурное покрытие для отделки фасадов зданий и стен внутри помещений, шт;18;кг;1 990,42;VINCENT;https://0.cs-ellpic.yandex.net/market_rX66-k98rphQyXwtFE1kmw_600x800.jpg;
;090-010;Matiere Grese S-2 / Матиар грезе структурное покрытие для отделки фасадов зданий и стен внутри помещений, шт;18;кг;1 690,04;VINCENT;http://akson.ru/upload/resize_cache/ctpi/b6/b6bd8718fe55cdaace483d39b6498841/1000x1000.jpg;
;090-012;Matiere Taloche S-3 / Матиар талоше - структурное покрытие для отделки фасадов зданий и стен внутри помещений;18;кг;1 690,04;VINCENT;http://akson.ru/upload/resize_cache/ctpi/60/60315a0f378d4339a9aa8dc987370f8b/1000x1000.jpg;
;w091-006;Muralith F-1 / Муралит - плиолитовая фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/5fc/5fc6eabf10b04c0bd04468b36b978da7.png;
w091-006;091-006;;0,8;л;590,18;;;
w091-006;091-003;;9;л;5 500,22;;;
w091-006;091-004;;2,7;л;1 815,16;;;
;w091-018;Muralith F-1 база C / Муралит - плиолитовая фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/5fc/5fc6eabf10b04c0bd04468b36b978da7.png;
w091-018;091-018;;0,7;л;490,36;;;
w091-018;091-015;;8,1;л;4 500,18;;;
;w091-024;Fa?ade Acrylique F-2 / Фасад акрилик - акрилатная фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/4ec/4ecea051be3faa2d54dabf5258473765.png;
w091-024;091-024;;0,8;л;320,16;;;
w091-024;091-046;;2,25;л;800,40;;;
w091-024;091-021;;9;л;2 750,34;;;
;w091-036;Fa?ade Acrylique F-2 база С /  Фасад акрилик  - акрилатная фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/4ec/4ecea051be3faa2d54dabf5258473765.png;
w091-036;091-036;;0,7;л;290,26;;;
w091-036;091-048;;2;л;750,26;;;
w091-036;091-033;;8,1;л;2 290,34;;;
;w090-014;Siloprim Polyflui / Силоприм Полифлюид - силан-силоксановый гидрофобизатор для фасада и цоколя из нат.  иск. Камня;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/fb9/fb9174bf0b0e8811078858f66761fed4.png;
w090-014;090-014;;1;л;650,44;;;
w090-014;090-016;;5;л;2 250,32;;;
;w094-011;Royal satin А-2 / Роял сатин  - алкидная полуматовая краска  для внутренних и наружных работ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/59c/59c47726a80fffa2592cf72a413ba6da.png;
w094-011;094-011;;0,8;л;540,04;;;
w094-011;094-033;;2,25;л;1 330,32;;;
w094-011;094-008;;9;л;5 080,24;;;
;w094-016;Royal satin А-2 / Роял сатин база С- алкидная полуматовая краска  для внутренних и наружных работ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/59c/59c47726a80fffa2592cf72a413ba6da.png;
w094-016;094-016;;8,1;л;3 890,22;;;
