Код;Наименование;фасовка;Единица измерения;Цена в валюте прайса;Бренд;картинка;Цвет
w15799;JOBI FLUSSIG KUNSTSTOFF Краска ж/ плст. Голубой;;;;JOBI;http://stroygigant.ru/uploads/goods/7921/zhidkaya-plastmassa-jobi-flussig-kunststoff-golubaya-0-9l-6sht.jpg;
15799;;0,9;л;1059,6924;;;
15801;;2,7;л;3006,1629;;;
w15805;JOBI FLUSSIG KUNSTSTOFF Краска ж/ плст. Коричневый;;;;JOBI;http://stroygigant.ru/uploads/goods/7921/zhidkaya-plastmassa-jobi-flussig-kunststoff-golubaya-0-9l-6sht.jpg;
15805;;0,9;л;1059,6924;;;
15806;;2,7;л;3006,1629;;;
w15810;JOBI FLUSSIG KUNSTSTOFF Краска ж/ плст. св. серый;;;;JOBI;http://stroygigant.ru/uploads/goods/7921/zhidkaya-plastmassa-jobi-flussig-kunststoff-golubaya-0-9l-6sht.jpg;
15810;;0,9;л;1059,6924;;;
15811;;2,7;л;3006,1629;;;
w16618;JOBI PARKETTLACK Лак паркет. алкидно-уретановый глянц;;;;JOBI;http://stroygigant.ru/uploads/goods/7921/zhidkaya-plastmassa-jobi-flussig-kunststoff-golubaya-0-9l-6sht.jpg;
16618;;0,9;л;354,51;;;
16619;;2,7;л;1006,3053;;;
16620;;9;л;3088,215;;;
w16621;JOBI PARKETTLACK Лак паркет. алкидно-уретановый мат.;;;;JOBI;http://stroygigant.ru/uploads/goods/7921/zhidkaya-plastmassa-jobi-flussig-kunststoff-golubaya-0-9l-6sht.jpg;
16621;;0,9;л;396,7821;;;
16622;;2,7;л;1152,8478;;;
16627;;9;л;3294,2169;;;
w16628;JOBI PARKETTLACK Лак паркет. алкидно-уретановый п/мат.;;;;JOBI;http://new.lkmflot.ru/images/big/100994163.jpeg;
16628;;0,9;л;396,7821;;;
16629;;2,7;л;1152,8478;;;
16630;;9;л;3294,2169;;;
